Neurosurgeon,ABNS Certificate,RFP in CNS Endovascular Surgery,RFP in Neurological Critical Care,RFP in Pediatric Neurological Surgery,Certified,Lifetime
"Francavilla, Thomas",  11/01/1994,,,,,Not Required To Participate
"Francis, Todd",  05/08/2017 - 12/31/2027,,,,Participating,
"Frank, Thomas",,,,,,
"Freeman, Thomas",  11/01/1993,,,,,Not Required To Participate
"Sachs, Donald","['\xa0\xa011/08/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Sage, Donald",  11/01/1966,,,,,Not Required To Participate
"Sahni, Deshdeepak",,,,,,
"Salvetti, David",,,,,,
"Fujii, Tatsuhiro",,,,,,
"Fulbright, Thomas",  05/01/1994,,,,,Not Required To Participate
"Fullagar, Timothy","['\xa0\xa005/01/1999 - 12/31/2009'], ['\xa0\xa001/01/2010 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,,Participating,
"Samples, Derek",,,,,,
"Samson, Duke",  09/01/1978,,,,,Not Required To Participate
"Sandberg, David","['\xa0\xa005/25/2007 - 12/31/2017'], ['\xa0\xa001/01/2018 - 12/31/2027']",,,,Participating,
"Santiago-Dieppa, David",  11/04/2022 - 12/31/2032,,,,Participating,
"Furst, Taylor",,,,,,
"Gammel, Theresa",,,,,,
"Garner, Timothy",  05/01/1994,,,,,Not Required To Participate
"Garzon-Muvdi, Tomas",  11/13/2021 - 12/31/2031,,,,Participating,
"Sarathy, Danyas",,,,,,
"Sasaki-Adams, Deanna",  11/14/2014 - 12/31/2024,,,,Participating,
"Satzer, David",,,,,,
"Gennarelli, Thomas",  09/01/1978,,,,,Not Required To Participate
"George, Timothy","['\xa0\xa005/15/2003 - 12/31/2013'], ['\xa0\xa001/01/2014 - 12/31/2023']",,,,,
"Gianaris, Thomas",  05/13/2023 - 12/31/2033,,,,Participating,
"Giles, Tyler",,,,,,
"Saulle, Dwight",  11/04/2018 - 12/31/2028,,,,Participating,
"Savage, Douglas",  11/01/1992,,,,,Not Required To Participate
"Sceats, D.",  05/01/1992,,,,,Not Required To Participate
"Schaefer, Dale",  11/01/1994,,,,,Not Required To Participate
"Girolamo, Taylor",,,,,,
"Gist, Taylor",  05/04/2019 - 12/31/2029,,,,Participating,
"Goldenberg, Todd",  11/01/1997,,,,,
"Gooldy, Timothy",,,,,,
"Schickner, David",  05/01/1996,,,,,Not Required To Participate
"Schneider, Daniel",,,,,,
"Schooler, Daria",  05/01/1997,,,,,Not Required To Participate
"Goradia, Tushar","['\xa0\xa011/11/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",,,,Participating,
"Grahm, Thomas",  11/01/1995,,,,,Not Required To Participate
"Gravori, Tooraj","['\xa0\xa005/02/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Gruber, Thomas",  04/20/2016 - 12/31/2026,,,,Participating,
"Sciubba, Daniel",  05/17/2013 - 12/31/2023,,,,Participating,
"Scodary, Daniel",  11/01/1994,,,,,Not Required To Participate
"Gust, Troy",  04/20/2016 - 12/31/2026,,,,Participating,
"Ha, Tung","['\xa0\xa005/05/2011 - 12/31/2021'], ['\xa0\xa001/01/2022 - 12/31/2031']",,,,Participating,
"Hamilton, Travis",,,,,,
"Seecharan, Dave",  05/09/2017 - 12/31/2027,,,,Participating,
"Segal, David","['\xa0\xa005/01/2000 - 12/31/2010'], ['\xa0\xa001/01/2011 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,,
"Segar, David",,,,,,
"Self, Dwight",,,,,,
"Hankinson, Todd",  05/15/2013 - 12/31/2023,,,,Participating,
"Hannah, Theodore",,,,,,
"Hardigan, Trevor",,,,,,
"Semenoff, David",  05/01/1988,,,,,
"Sexton, Daniel",,,,,,
"Seyfried, Donald",  05/08/1997,,,,,Not Required To Participate
"Shafer, David",  10/31/2020 - 12/31/2030,,,,Participating,
"Hardy, Tyrone",  05/01/1980,,,,,Not Required To Participate
"Harland, Tessa",,,,,,
"Harrington, Timothy",  01/01/1976,,,,,Not Required To Participate
"Hawk, Thomas",  08/01/1970,,,,,Not Required To Participate
"Shafron, David","['\xa0\xa011/11/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",,,  12/07/2021,Participating,
"Shastri, Darshan",,,,,,
"Shedid, Daniel","['\xa0\xa011/12/2008 - 12/31/2018'], ['\xa0\xa001/01/2019 - 12/31/2028']",,,,Participating,
"Helenowski, Tomasz",  11/01/1993,,,,,Not Required To Participate
"Hersonskey, Tamir","['\xa0\xa005/27/2009 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,,Participating,
"Hill, T.",  09/01/1982,,,,,Not Required To Participate
"Sheffel, Donald",  01/01/1965,,,,,Not Required To Participate
"sheinberg, Dallas",,,,,,
"Shepherd, Daniel",  05/06/2022 - 12/31/2032,,,,Participating,
"Shields, Donald","['\xa0\xa005/03/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Hill, Travis",,,,,,
"Hines, Thomas",,,,,,
"Shin, David",,,,,,
"Shubert, Dennis",  01/01/1983,,,,,Not Required To Participate
"Sierens, Diane","['\xa0\xa005/25/2007 - 12/31/2017'], ['\xa0\xa001/01/2018 - 12/31/2027']",,,,Participating,
"Sigounas, Dimitri",  10/31/2020 - 12/31/2030,"['\xa0\xa001/01/2022'], ['\xa0\xa001/01/2023']",,,Participating,
"Hodges, Tiffany",  10/31/2020 - 12/31/2030,,,,Participating,
"Hoff, Theodore",  01/01/1962,,,,,Not Required To Participate
"Holbrook, Thomas",  09/01/1989,,,,,Not Required To Participate
"Silbergeld, Daniel",  05/01/1995,,,,,Not Required To Participate
"Siler, Dominic",,,,,,
"Silver, David",  11/01/1977,,,,,Not Required To Participate
"Sirhan, Denis","['\xa0\xa005/20/2004 - 12/31/2014'], ['\xa0\xa001/01/2015 - 02/16/2023']",,,,,
"Holekamp, Terrence",  05/07/2021 - 12/31/2031,,,,Participating,
"Hollon, Todd",,,,,,
"Hood, Terry",  05/01/1986,,,,,Not Required To Participate
"Hopkins, Timothy","['\xa0\xa011/09/2007 - 12/31/2017'], ['\xa0\xa001/01/2018 - 12/31/2027']",,,,Participating,
"Slavnic, Dejan",,,,,,
"Slottje, David",  11/05/2022 - 12/31/2032,,,,Participating,
"Smart, Derek",,,,,,
"Horner, Terry",  05/01/1980,,,,,Not Required To Participate
"Hoyt, Thomas",  05/01/1986,,,,,Not Required To Participate
"Huff, Thomas",  04/01/1952,,,,,
"Hughes, Tyler",,,,,,
"Smerin, Daniel",,,,,,
"Smith, Darin","['\xa0\xa011/11/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",,,,Participating,
"Smith, David",  05/04/2019 - 12/31/2029,,,,Participating,
"Smith, Donald",  11/01/1990,,,,,Not Required To Participate
"Hurley, Thomas","['\xa0\xa005/01/1999 - 12/31/2009'], ['\xa0\xa001/01/2010 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,,Not Participating,
"Jackson, Thad","['\xa0\xa011/12/2008 - 12/31/2018'], ['\xa0\xa001/01/2019 - 12/31/2028']",,,,Participating,
"Jacobs, Theodore",  05/01/1995,,,,,Not Required To Participate
"Smith, Donald",  01/01/1972,,,,,
"Smith, Douglas",  09/01/1987,,,,,Not Required To Participate
"Smolar, David",,,,,,
"Javed, Tariq",  11/01/1994,,,,,Not Required To Participate
"Johans, Timothy",  05/01/1997,,,,,Not Required To Participate
"Jones, Thomas",  09/01/1984,,,,,Not Required To Participate
"Julien, Terrence","['\xa0\xa005/03/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Soloniuk, Donald",  09/01/1989,,,,,Not Required To Participate
"Song, Debbie",  05/10/2017 - 12/31/2027,,,  07/20/2018,Participating,
"Soni, Deepa","['\xa0\xa011/08/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Soriano, Danilo",  01/01/1972,,,,,Not Required To Participate
"Kaczmar, Theodore",  05/01/1989,,,,,Not Required To Participate
"Kaibara, Taro","['\xa0\xa011/13/2009 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,,Participating,
"Karnati, Tejas",,,,,,
"Southwell, Derek",  11/05/2022 - 12/31/2032,,,,Participating,
"Spencer, Dennis",  01/01/1980,,,,,
"Spencer, Drew",  11/02/2019 - 12/31/2029,,,,Participating,
"Spitzer, Daniel",  05/01/1992,,,,,
"Kaye, Thomas",  05/01/1990,,,,,Not Required To Participate
"Keller, Thomas",  09/01/1984,,,,,Not Required To Participate
"Kenning, Tyler",  04/20/2016 - 12/31/2026,,,,Participating,
"Keucher, Thomas",  09/01/1980,,,,,Not Required To Participate
"Spomar, Daniel","['\xa0\xa005/03/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Spurrier, Daniel",  11/01/1993,,,,,Not Required To Participate
"Steele, Debra","['\xa0\xa005/30/2008 - 12/31/2018'], ['\xa0\xa001/01/2019 - 12/31/2028']",,,,Participating,
"Kim, Teddy",,,,,,
"Kim, Timothy",,,,,,
"Kingman, Thomas",  05/01/1990,,,,,Not Required To Participate
"Kjerulf, Terrell",  09/01/1978,,,,,Not Required To Participate
"Klump, Thomas",  11/01/1972,,,,,Not Required To Participate
"Steven, David","['\xa0\xa005/24/2007 - 12/31/2017'], ['\xa0\xa001/01/2018 - 12/31/2027']",,,,Participating,
"Stidd, David",  11/02/2019 - 12/31/2029,,,,Participating,
"Stockwell, David",  10/31/2020 - 12/31/2030,,,,Participating,
"Straus, David",  05/04/2019 - 12/31/2029,,,,Participating,
"Kopitnik, Thomas",  05/01/1993,,,,,Not Required To Participate
"Koski, Tyler","['\xa0\xa005/06/2011 - 12/31/2021'], ['\xa0\xa001/01/2022 - 12/31/2031']",,,,Participating,
"Kosztowski, Thomas",  11/12/2021 - 12/31/2031,,,,Participating,
"Stringer, Douglas",  01/01/1980,,,,,Not Required To Participate
"Su, David",  05/08/2021 - 12/31/2031,,,,Participating,
"Suh, Daniel","['\xa0\xa011/11/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",,,,Not Participating,
"Sun, David",  11/09/2015 - 12/31/2025,,,,Participating,
"Kovanda, Timothy",  11/12/2021 - 12/31/2031,,,,Participating,
"Kriss, Timothy",  05/01/2001 - 12/31/2011,,,,,
"Krueger, Thomas",  11/01/1971,,,,,
"Sun, Derrick",  10/30/2020 - 12/31/2030,,,,Participating,
"Surdell, Daniel","['\xa0\xa011/03/2011 - 12/31/2021'], ['\xa0\xa001/01/2022 - 12/31/2031']",,,,Participating,
"Sure, Durga",  05/08/2021 - 12/31/2031,,,,Participating,
"Swift, Dale",  05/01/1997,,,  06/11/2023,Participating,
"Kuether, Todd","['\xa0\xa005/20/2004 - 12/31/2014'], ['\xa0\xa001/01/2015 - 12/31/2024']",,,,Participating,
"Kurze, Theodore",  01/01/1956,,,,,
"Ladner, Travis",,,,,,
"Lanman, Todd",  11/01/1993,,,,,Not Required To Participate
"Lansen, Thomas",  05/01/1983,,,,,Not Required To Participate
"Swingle, David",  11/01/1990,,,,,Not Required To Participate
"Szymanski, Dennis",  09/01/1983,,,,,
"Larrew, Thomas",,,,,,
"Lasner, Todd","['\xa0\xa011/01/2002 - 12/31/2012'], ['\xa0\xa001/01/2013 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Lau, Tsz",  11/03/2018 - 12/31/2028,,,,Participating,
"Lazaro, Tyler",,,,,,
"Taggard, Derek","['\xa0\xa005/12/2006 - 12/31/2016'], ['\xa0\xa001/01/2017 - 12/31/2026']",,,,Participating,
"Tavanaiepour, Daryoush",  04/18/2016 - 12/31/2026,,,,Participating,
"Taylor, Davis",,,,,,
"Le, Tien",  05/05/2019 - 12/31/2029,,,,Participating,
"Leclercq, Toussaint",  09/01/1977,,,,,Not Required To Participate
"Lee, Thomas","['\xa0\xa011/01/2001 - 12/31/2011'], ['\xa0\xa001/01/2012 - 12/31/2021'], ['\xa0\xa001/01/2022 - 12/31/2031']",,,,Participating,
"Leipzig, Thomas",  09/01/1989,,,,,Not Required To Participate
"Taylor, Douglas",,,,,,
"Terrell, Danielle",,,,,,
"Terzic, Dino",  10/31/2020 - 12/31/2030,,,,Participating,
"Lichtor, Terry",  05/01/1991,,,,,Not Required To Participate
"Lin, Tina","['\xa0\xa011/09/2007 - 12/31/2017'], ['\xa0\xa001/01/2018 - 12/31/2027']",,,,Participating,
"Lindley, Timothy",  11/13/2014 - 12/31/2024,,,,Participating,
"Link, Thomas",  05/12/2023 - 12/31/2033,,,,Participating,
"Theodros, Debebe",,,,,,
"Thoms, Dewey",,,,,,
"Todor, D.","['\xa0\xa005/01/2002 - 12/31/2012'], ['\xa0\xa001/01/2013 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Link, Timothy",  05/21/2015 - 12/31/2025,,,,,
"Lo, Jr, Thomas",  11/02/2019 - 12/31/2029,,,,Participating,
"Loftus, Thomas","['\xa0\xa011/09/2007 - 12/31/2017'], ['\xa0\xa001/01/2018 - 12/31/2027']",,,,Participating,
"Lovely, Thomas",  11/01/1992,,,,,Not Required To Participate
"Tolner, David",  05/01/1987,,,,,Not Required To Participate
"Tomes, Daniel","['\xa0\xa011/12/2008 - 12/31/2018'], ['\xa0\xa001/01/2019 - 12/31/2028']",,,,Participating,
"Tonetti, Daniel",  05/13/2023 - 12/31/2033,,,,Participating,
"Lucas, Timothy","['\xa0\xa011/09/2016 - 04/06/2022'], ['\xa0\xa001/17/2023 - 12/31/2032']",,,,Participating,
"Luerssen, Thomas",  05/01/1985,,,,,Not Required To Participate
"Lyons, Thomas",  01/01/1980,,,,,Not Required To Participate
"Machinis, Theofilos",  05/10/2017 - 12/31/2027,,,,Participating,
"Tosanco, Daniel",,,,,,
"Tran, Diem Kieu",,,,,,
"Trimble, Duncan",,,,,,
"Mackey, Tristan",,,,,,
"Mahlokozera, Tatenda",,,,,,
"Mampalam, Thomas",  05/01/1995,,,,,Not Required To Participate
"Manning, Thomas",  05/15/2013 - 12/31/2023,,,,Participating,
"Turkel Parrella, David",,,,,,
"Turner, Dennis",  09/01/1984,,,,,Not Required To Participate
"Turner, Donn",  09/01/1986,,,,,Not Required To Participate
"Tyler, Donald","['\xa0\xa005/26/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",,,,Participating,
"Manski, Thomas","['\xa0\xa011/19/2003 - 12/31/2013'], ['\xa0\xa001/01/2014 - 05/16/2022']",,,,,
"Mansour, Tarek",,,,,,
"Mapstone, Timothy",  09/01/1985,,,,,Not Required To Participate
"Maryanov, Timothy",  11/09/2016 - 05/16/2022,,,,,
"Tynan, Daniel",  11/01/1997,,,,,Not Required To Participate
"Udehn, David",  11/15/1996,,,,,Not Required To Participate
"Umansky, Derrick",  05/12/2023 - 12/31/2033,,,,Participating,
"Masnyk, Taras","['\xa0\xa005/26/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",,,,Participating,
"Matern, Tyson",,,,,,
"Mattingly, Thomas","['\xa0\xa011/12/2008 - 12/31/2018'], ['\xa0\xa001/01/2019 - 12/31/2028']","['\xa0\xa001/02/2020'], ['\xa0\xa001/01/2021'], ['\xa0\xa001/01/2022'], ['\xa0\xa001/01/2023']",,,Participating,
"Vacca, Dante",  05/01/1992,,,,,Not Required To Participate
"VanSickle, David",  05/08/2014 - 12/31/2024,,,,Participating,
"Velez, Dennis",,,,,,
"Maugans, Todd","['\xa0\xa011/19/2003 - 12/31/2013'], ['\xa0\xa001/01/2014 - 12/31/2023']",,,  06/12/2021,Participating,
"McCall, Todd",  05/21/2015 - 12/31/2025,,,,Participating,
"McCormack, Thomas",  05/01/1995,,,,,Not Required To Participate
"McDonald, Thomas",  01/01/1980,,,,,Not Required To Participate
"Venne, Dominic","['\xa0\xa011/08/2006 - 12/31/2016'], ['\xa0\xa001/01/2017 - 12/31/2026']",,,,,
"Vincent, David","['\xa0\xa011/09/2007 - 12/31/2017'], ['\xa0\xa001/01/2018 - 12/31/2027']",,,,Participating,
"Voce, David",,,,,,
"Meek, Thomas",  11/01/1968,,,,,Not Required To Participate
"Mehalic, Thomas",  09/01/1976,,,,,Not Required To Participate
"Mehta, Tapan",,"['\xa0\xa006/09/2022'], ['\xa0\xa001/01/2023']",,,,
"Melin, Thomas",  11/01/1995,,,,,Not Required To Participate
"Vollhaber, Daniel",,,,,,
"Vollmer, Dennis",  11/01/1990,,,,,
"Vyas, Daivik",,,,,,
"Walker, David","['\xa0\xa005/21/2010 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Middleton, Troy",  11/01/1991,,,,,Not Required To Participate
"Milhorat, Thomas",  05/01/1972,,,,,Not Required To Participate
"Miller, Thomas",  04/01/1975,,,,,Not Required To Participate
"Wallace, David",,,,,,
"Wallace, David",  05/12/2023 - 12/31/2033,,,,Participating,
"Walzman, Daniel","['\xa0\xa011/12/2008 - 12/31/2018'], ['\xa0\xa001/01/2019 - 12/31/2028']",,,,Participating,
"Wang, David",  11/05/2017 - 12/31/2027,,,,Participating,
"Miller, Timothy",  10/31/2020 - 12/31/2030,,,,Participating,
"Mims, Thomas",  05/01/1987,,,,,Not Required To Participate
"Monroe, Timothy",  11/09/2016 - 12/31/2026,,,,Participating,
"Wang, Doris",  05/07/2021 - 12/31/2031,,,,Participating,
"Warder, Daryl",  11/01/1997,,,,,Not Required To Participate
"Waters, David",  09/01/1988,,,,,Not Required To Participate
"Weaver, David","['\xa0\xa005/06/2011 - 12/31/2021'], ['\xa0\xa001/01/2022 - 12/31/2031']",,,,Participating,
"Moriarty, Thomas","['\xa0\xa005/15/2003 - 12/31/2013'], ['\xa0\xa001/01/2014 - 12/31/2023']",,,  09/18/2018,Participating,
"Morris, Thomas",,,,,,
"Morrison, Thomas","['\xa0\xa011/12/2008 - 12/31/2018'], ['\xa0\xa001/01/2019 - 12/31/2028']",,,,,
"Webb, Daniel",  11/05/2017 - 12/31/2027,,,,Participating,
"Wecht, Daniel","['\xa0\xa011/01/2000 - 12/31/2010'], ['\xa0\xa001/01/2011 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Weingarten, David",  11/02/2019 - 12/31/2029,,,,Participating,
"Munson, Troy",  05/08/2017 - 12/31/2027,,,,Participating,
"Nail, Tara",,,,,,
"Nguyen, Tai",  09/01/1983,,,,,Not Required To Participate
"Nguyen, Tien","['\xa0\xa005/27/2009 - 12/31/2019'], ['\xa0\xa001/01/2020 - 02/13/2022']",,,,,
"Weintraub, David",  11/01/2020 - 12/31/2030,,,,Participating,
"Weitman, David","['\xa0\xa005/15/2003 - 12/31/2013'], ['\xa0\xa001/01/2014 - 12/31/2023']",,,,,
"Wells-Roth, David","['\xa0\xa011/12/2010 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Nguyen, Tuan",  05/08/2017 - 12/31/2027,,,,Participating,
"Nguyen, Tung","['\xa0\xa005/12/2006 - 12/31/2016'], ['\xa0\xa001/01/2017 - 12/31/2026']",,,,Participating,
"Niazi, Toba",  04/19/2016 - 12/31/2026,,,,Participating,
"Wen, Dennis",  05/01/1995,,,,,
"Westra, David",  05/09/2014 - 12/31/2024,,,,Participating,
"White, Daniel","['\xa0\xa011/03/2011 - 12/31/2021'], ['\xa0\xa001/01/2022 - 12/31/2031']",,,,Participating,
"Whiting, Donald",  11/01/1995,,,,Participating,
"Nichols, Tann","['\xa0\xa005/05/2011 - 12/31/2021'], ['\xa0\xa001/01/2022 - 12/31/2031']",,,,Participating,
"Nida, Todd","['\xa0\xa005/01/1999 - 12/31/2009'], ['\xa0\xa001/01/2010 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,,Participating,
"Wiles, David","['\xa0\xa011/01/2001 - 12/31/2011'], ['\xa0\xa001/01/2012 - 12/31/2021'], ['\xa0\xa001/01/2022 - 12/31/2031']",,,,Participating,
"Wilkinson, David",  05/13/2023 - 12/31/2033,,,,Participating,
"Wilson, David",  05/05/2018 - 12/31/2028,,,,Participating,
"Wilson, Diana",  11/01/1993,,,,Not Required To Participate,
"Niu, Tianyi",  05/07/2022 - 12/31/2032,,,,Participating,
"Noh, Thomas",,,,,,
"Norregaard, Thorkild",  05/01/1992,,,,,Not Required To Participate
"Winters, Dennis","['\xa0\xa011/01/2002 - 12/31/2012'], ['\xa0\xa001/01/2013 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Wiseman, Diana","['\xa0\xa005/25/2007 - 12/31/2017'], ['\xa0\xa001/01/2018 - 12/31/2027']",,,,,
"Wolfson, Daniel",,,,,,
"Won, Daniel",  05/01/1990,,,,,Not Required To Participate
"Norton, Thomas",  06/01/1975,,,,Not Required To Participate,
"Nowak, Thomas","['\xa0\xa011/01/1999 - 12/31/2009'], ['\xa0\xa001/01/2010 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,,Participating,
"O'Connor, Timothy",,,,,,
"Woodham, David",  05/01/1983,,,,,Not Required To Participate
"Wright, Donald",  09/01/1985,,,,,Not Required To Participate
"Wrubel, David","['\xa0\xa011/12/2010 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,  12/01/2022,Participating,
"O'Hara, Thomas",  11/01/1993,,,,,Not Required To Participate
"O'Lynnger, Thomas",  10/30/2020 - 12/31/2030,,,,Participating,
"Oh, Taemin",,,,,,
"Xu, David",  11/05/2022 - 12/31/2032,,,,Participating,
"YAM, David",  11/04/2017 - 12/31/2027,,,,Participating,
"Yanni, Daniel",  05/22/2015 - 12/31/2025,,,,Participating,
"Oliver, Thomas",  11/10/2015 - 12/31/2025,,,,Participating,
"Olson, Ty","['\xa0\xa005/27/2009 - 12/31/2019'], ['\xa0\xa001/01/2020 - 05/16/2022'], ['\xa0\xa003/20/2023 - 12/31/2032']",,,,Participating,
"Origitano, Thomas",  05/01/1995,,,,,Not Required To Participate
"Yazdan, David",  01/01/1971,,,,,Not Required To Participate
"Ye, Donald",,,,,,
"Yecies, Derek",,,,,,
"Yeh, David","['\xa0\xa011/12/2010 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Yeh, David","['\xa0\xa011/10/2006 - 12/31/2016'], ['\xa0\xa001/01/2017 - 12/31/2026']",,,,Participating,
"Yingling, David",  11/01/1997,,,,,Not Required To Participate
"Ostergard, Thomas",  05/07/2022 - 12/31/2032,,,,Participating,
"Owens, Timothy",  05/04/2019 - 12/31/2029,,,,Participating,
"Pait, T.",  05/01/1991,,,,,Not Required To Participate
"Yoshor, Daniel","['\xa0\xa005/15/2003 - 12/31/2013'], ['\xa0\xa001/01/2014 - 12/31/2023']",,,,Participating,
"Zeitouni, Daniel",,,,,,
"ZHAO, DAVID",,,,,,
"Zinke, David",  01/01/1982,,,,,Not Required To Participate
"Pannu, Tejpaul",  11/15/2013 - 12/31/2023,,,,Participating,
"Park, Tae",  09/01/1985,,,,,
"Parker, Tariq",,,,,,
"Zoerner, Douglas Michael",,,,,,
"Zorub, David",  09/01/1978,,,,,Not Required To Participate
"Abay, Eustaquio",  05/01/1986,,,,,Not Required To Participate
"Abdu, Emun",  11/07/2016 - 12/31/2026,"['\xa0\xa001/02/2020'], ['\xa0\xa001/01/2021'], ['\xa0\xa001/01/2022'], ['\xa0\xa001/01/2023']",,,Participating,
"Patchana, Tye",,,,,,
"Patel, Toral",  11/03/2018 - 12/31/2028,,,,Participating,
"Patrick, Todd",  11/14/2013 - 12/31/2023,,,,Participating,
"Ahn, Edward","['\xa0\xa011/07/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,  06/11/2023,Participating,
"Air, Ellen",  11/10/2015 - 12/31/2025,,,,Participating,
"Akeyson, Edward","['\xa0\xa005/01/2001 - 12/31/2011'], ['\xa0\xa001/01/2012 - 12/31/2021'], ['\xa0\xa001/01/2022 - 12/31/2031']",,,,Participating,
"Patterson, Thomas Tyler",,,,,,
"Payner, Troy",  05/01/1997,,,,,Not Required To Participate
"Perone, Thomas",  09/01/1983,,,,,
"Perry, Tiffany",  04/19/2016 - 12/31/2026,,,,Participating,
"Akin, Eric","['\xa0\xa005/02/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"akture, erinc",,,,,,
"Altschuler, Eric",  11/01/1995,,,,,Not Required To Participate
"Amundson, Eric","['\xa0\xa005/05/2009 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,,Participating,
"Peterson, Thomas",  01/01/1987,,,,,Not Required To Participate
"Phillips, Timothy",  09/01/1986,,,,,Not Required To Participate
"Pieters, Thomas",,,,,,
"Anderer, Erich","['\xa0\xa011/07/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Anderson, Emily",,,,,,
"Andrews, Edward",,,,,,
"Arias, Eric",  11/13/2021 - 12/31/2031,,,,Participating,
"Pistone, Tyler",,,,,,
"Pittman, Thomas",  05/01/1993,,,,,
"Porras, Tito",,,,,,
"Arocho-Quinones, Elsa",,,,,,
"Atallah, Elias",,,,,,
"Aulisi, Edward","['\xa0\xa011/01/1999 - 12/31/2009'], ['\xa0\xa001/01/2010 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,,Participating,
"Prabhala, Tarun",,,,,,
"Psarros, Thomas","['\xa0\xa005/27/2009 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,,Participating,
"Putty, Timothy",  05/01/1998,,,,,Not Required To Participate
"Quinn, Tanya",  11/14/2013 - 12/31/2023,,,,Participating,
"Bah, Eugene",,,,,,
"Bahn, Eunkyung",  05/20/2015 - 02/13/2023,,,,,
"Baird-Daniel, Eliza",,,,,,
"Bander, Evan",,,,,,
"Quinoa, Travis",,,,,,
"Radwan, Tarek",  11/03/2018 - 12/31/2028,,,,Participating,
"Rankin, Thomas",  09/01/1976,,,,,Not Required To Participate
"Rapacki, Thomas","['\xa0\xa005/26/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",,,,Participating,
"Baron, Eli","['\xa0\xa005/04/2011 - 12/31/2021'], ['\xa0\xa001/01/2022 - 12/31/2031']",,,,Participating,
"Barthélemy, Ernest",,,,,,
"Ribovich, Thomas",  05/01/1990,,,,,Not Required To Participate
"Ridder, Thomas",  11/02/2019 - 12/31/2029,,,  01/20/2020,Participating,
"Ridenour, Todd",  05/01/1995,,,,,Not Required To Participate
"Rigsby, Thomas",  05/01/1992,,,,,
"Bates, Ernest",  11/01/1973,,,,,Not Required To Participate
"Beehler, Ernest",  05/01/1968,,,,,Not Required To Participate
"Belanger, Eric","['\xa0\xa011/11/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",,,,Participating,
"Roberts, Theodore",  10/01/1963,,,,,
"Robinson, Timothy",,,,,,
"Robison, Trae Russell",,,,,,
"Rodenhouse, Thomas",  05/01/1976,,,,,Not Required To Participate
"Belykh, Evgenii",,,,,,
"Benardete, Ethan","['\xa0\xa011/11/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",,,,Participating,
"Rodrigue, Tina","['\xa0\xa005/25/2007 - 12/31/2017'], ['\xa0\xa001/01/2018 - 12/31/2027']",,,,Participating,
"Rosenbaum, Thomas",  05/01/1982,,,,,Not Required To Participate
